,day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
4,3,2020,1,15,15/01/2020,43.9,38.3,1019.4,8.2,5.4,14,15,51.1,35.1,0.02,999.9,1,505
8,7,2020,1,26,26/01/2020,44.3,40.7,1006.4,6.5,13,19,28,51.1,36,0.44,999.9,1,395
9,4,2020,1,2,02/01/2020,39.6,28.9,1011.8,10,13,19,26,46,33.1,0.01,999.9,0,409
10,3,2020,1,1,01/01/2020,40.3,29.9,1003,10,11.4,20,26,52,36,0.01,999.9,1,336
11,1,2020,1,20,20/01/2020,28.1,16.1,1015.1,10,15.7,20,27,46.9,21.9,0.04,999.9,0,389
12,6,2020,1,25,25/01/2020,43.1,39.6,1023.5,9,12.3,20,28.9,48.9,28,0,999.9,1,383
13,6,2020,1,11,11/01/2020,49.4,46.1,1028.6,6.7,13.8,21,27,53.1,46.9,0,999.9,1,438
14,4,2020,1,9,09/01/2020,29.5,10.8,1030.7,10,15.3,22,35,42.1,24.1,0.34,999.9,0,517
15,7,2020,1,19,19/01/2020,41.2,35.8,1004.9,7.5,14.4,22,27,46.9,19,0.21,999.9,1,360
16,7,2020,1,12,12/01/2020,52,49.4,1017.2,2.9,19,26,36.9,55.9,44.6,0,999.9,1,387
17,7,2020,1,5,05/01/2020,40.1,33.8,1001.6,7.1,17,27,38.1,48.9,36,0.38,999.9,1,286
35,7,2016,1,17,17/01/2016,40.2,32.3,1007.3,9.2,7.7,12,18.1,51.1,36,0.77,999.9,0,451
37,4,2014,1,9,09/01/2014,23.5,8.3,1034.2,10,7.9,12,20,28.9,12,0,999.9,0,561
43,7,2019,1,13,13/01/2019,26,12.8,1030.5,10,8,13,15.9,30.9,18,0,999.9,0,374
45,3,2015,1,14,14/01/2015,32.1,24,1031.2,8,9.6,13,22.9,37,26.1,0.15,999.9,0,506
48,6,2019,1,19,19/01/2019,34.5,29.7,1022,9.8,6.9,13,21,39.9,30.9,0.07,999.9,0,479
50,4,2015,1,29,29/01/2015,29.2,20.9,1022.9,10,8.5,13,20,36,19,0,999.9,0,519
54,7,2015,1,11,11/01/2015,27.1,12.1,1035.5,10,8.8,13,17.1,37,19.9,0,999.9,0,341
55,6,2013,1,12,12/01/2013,42.7,41.5,1022.6,7.1,7.9,13,20,46.4,39.2,0.17,999.9,0,475
59,4,2013,1,17,17/01/2013,39.4,34.6,1014.2,8.6,8.6,14,20,41,37,0.47,999.9,1,491
60,1,2015,1,12,12/01/2015,40.9,35.6,1028.3,7.7,6.3,14,29.9,52,21,0,999.9,1,580
61,3,2019,1,2,02/01/2019,35,23.4,1022.9,10,10.3,14,24.1,55,28,0.61,999.9,0,502
62,4,2017,1,19,19/01/2017,40.7,36.9,1014.4,7.4,7.6,14,22,45,37,0.1,999.9,0,610
64,2,2017,1,17,17/01/2017,40,30.9,1023.1,9.6,8.4,14,21,44.1,37,0,999.9,0,657
66,1,2013,1,28,28/01/2013,27.3,10.8,1028.9,8.8,7.4,14,20,32,21.9,0,999.9,0,507
67,2,2014,1,14,14/01/2014,45.5,43.2,1012.5,5.2,11.8,15,22,48,28.9,0,999.9,1,559
68,5,2014,1,31,31/01/2014,33.7,26.7,1020.9,9.9,9.1,15,19,37.4,28.9,0,999.9,0,560
69,7,2017,1,29,29/01/2017,38,26.4,1005.7,9.9,10.2,15,22,43,34,0,999.9,0,428
70,4,2018,1,18,18/01/2018,32.4,29.5,1013.5,8.4,10.2,15,19,41,28.9,0.04,999.9,0,634
71,5,2018,1,19,19/01/2018,28.9,21.4,1014.3,10,10.5,15,21,34,24.1,0,999.9,0,599
72,1,2017,1,30,30/01/2017,34,23.1,1006.1,9.7,6.5,15,22,43,24.1,0,999.9,0,545
73,7,2017,1,22,22/01/2017,43.2,40.4,1008.1,4.5,8.4,15,21,53.1,39,0,999.9,1,411
76,7,2013,1,6,06/01/2013,35.7,31.3,1019.7,9.8,5.9,15,20,44.1,23,0.01,999.9,0,393
77,1,2017,1,16,16/01/2017,31.6,20.7,1029,10,6.2,15,18.1,43,21,0,999.9,0,477
79,6,2016,1,30,30/01/2016,37.8,27.3,1011,10,11.6,15,22.9,45,34,0,999.9,0,596
80,1,2013,1,14,14/01/2013,47.2,47.1,1017.5,1.3,8.2,15.9,21,51.8,44.6,0,999.9,1,542
81,4,2014,1,30,30/01/2014,22,5.8,1027.2,10,8.1,15.9,24.1,27,12.9,0.01,999.9,0,657
